day,type,exercise,training_max,increment_per_cycle
1,main,squat,198,10
1,support,gm standing,79,2.5
1,support,db lunge,72,2.5
1,support,situp,19.6,2.5
2,main,bench,144,5
2,support,db flies,68.25,1.25
2,support,wide dips,17.04,2.5
2,support,knuckle dusters,26.5,2.5
3,main,deadlift,225,10
3,support,db skull crusher,22,1.25
3,support,kroc rows,84,5
3,support,situp,19.6,2.5
4,main,overhead press,106.5,2.5
4,support,pullup,12.5,2.5
4,support,curl,44,2.5
4,support,knuckle dusters,26.5,2.5
