Day,Exercise,Week 1,Week 1,Week 2,Week 2,Week 3,Week 3,Week 4,Week 4,Increment for Next Cycle
,,Reps,Weight,Reps,Weight,Reps,Weight,Reps,Weight,
1,squat,5,79.2,5,79.2,5,79.2,,,10.0
1,squat,5,93.06,5,99.0,5,99.0,,,
1,squat,3,108.9,3,118.8,3,118.8,,,
1,squat,5,128.7,3,138.6,5,148.5,5,79.2,
1,squat,5,148.5,3,158.4,3,168.3,5,99.0,
1,squat,5,168.3,3,178.2,1,188.1,5,118.8,
1,gm standing,5,31.6,5,31.6,5,31.6,,,2.5
1,gm standing,5,37.13,5,39.5,5,39.5,,,
1,gm standing,3,43.45,3,47.4,3,47.4,,,
1,gm standing,5,51.35,3,55.3,5,59.25,5,31.6,
1,gm standing,5,59.25,3,63.2,3,67.15,5,39.5,
1,gm standing,5,67.15,3,71.1,1,75.05,5,47.4,
1,db lunge,5,28.8,5,28.8,5,28.8,,,2.5
1,db lunge,5,33.84,5,36.0,5,36.0,,,
1,db lunge,3,39.6,3,43.2,3,43.2,,,
1,db lunge,5,46.8,3,50.4,5,54.0,5,28.8,
1,db lunge,5,54.0,3,57.6,3,61.2,5,36.0,
1,db lunge,5,61.2,3,64.8,1,68.4,5,43.2,
1,situp,5,7.84,5,7.84,5,7.84,,,2.5
1,situp,5,9.21,5,9.8,5,9.8,,,
1,situp,3,10.78,3,11.76,3,11.76,,,
1,situp,5,12.74,3,13.72,5,14.7,5,7.84,
1,situp,5,14.7,3,15.68,3,16.66,5,9.8,
1,situp,5,16.66,3,17.64,1,18.62,5,11.76,
2,bench,5,57.6,5,57.6,5,57.6,,,5.0
2,bench,5,67.68,5,72.0,5,72.0,,,
2,bench,3,79.2,3,86.4,3,86.4,,,
2,bench,5,93.6,3,100.8,5,108.0,5,57.6,
2,bench,5,108.0,3,115.2,3,122.4,5,72.0,
2,bench,5,122.4,3,129.6,1,136.8,5,86.4,
2,db flies,5,27.3,5,27.3,5,27.3,,,1.25
2,db flies,5,32.08,5,34.12,5,34.12,,,
2,db flies,3,37.54,3,40.95,3,40.95,,,
2,db flies,5,44.36,3,47.77,5,51.19,5,27.3,
2,db flies,5,51.19,3,54.6,3,58.01,5,34.12,
2,db flies,5,58.01,3,61.43,1,64.84,5,40.95,
2,wide dips,5,6.82,5,6.82,5,6.82,,,2.5
2,wide dips,5,8.01,5,8.52,5,8.52,,,
2,wide dips,3,9.37,3,10.22,3,10.22,,,
2,wide dips,5,11.08,3,11.93,5,12.78,5,6.82,
2,wide dips,5,12.78,3,13.63,3,14.48,5,8.52,
2,wide dips,5,14.48,3,15.34,1,16.19,5,10.22,
2,knuckle dusters,5,10.6,5,10.6,5,10.6,,,2.5
2,knuckle dusters,5,12.46,5,13.25,5,13.25,,,
2,knuckle dusters,3,14.58,3,15.9,3,15.9,,,
2,knuckle dusters,5,17.23,3,18.55,5,19.88,5,10.6,
2,knuckle dusters,5,19.88,3,21.2,3,22.52,5,13.25,
2,knuckle dusters,5,22.52,3,23.85,1,25.17,5,15.9,
3,deadlift,5,90.0,5,90.0,5,90.0,,,10.0
3,deadlift,5,105.75,5,112.5,5,112.5,,,
3,deadlift,3,123.75,3,135.0,3,135.0,,,
3,deadlift,5,146.25,3,157.5,5,168.75,5,90.0,
3,deadlift,5,168.75,3,180.0,3,191.25,5,112.5,
3,deadlift,5,191.25,3,202.5,1,213.75,5,135.0,
3,db skull crusher,5,8.8,5,8.8,5,8.8,,,1.25
3,db skull crusher,5,10.34,5,11.0,5,11.0,,,
3,db skull crusher,3,12.1,3,13.2,3,13.2,,,
3,db skull crusher,5,14.3,3,15.4,5,16.5,5,8.8,
3,db skull crusher,5,16.5,3,17.6,3,18.7,5,11.0,
3,db skull crusher,5,18.7,3,19.8,1,20.9,5,13.2,
3,kroc rows,5,33.6,5,33.6,5,33.6,,,5.0
3,kroc rows,5,39.48,5,42.0,5,42.0,,,
3,kroc rows,3,46.2,3,50.4,3,50.4,,,
3,kroc rows,5,54.6,3,58.8,5,63.0,5,33.6,
3,kroc rows,5,63.0,3,67.2,3,71.4,5,42.0,
3,kroc rows,5,71.4,3,75.6,1,79.8,5,50.4,
3,situp,5,7.84,5,7.84,5,7.84,,,2.5
3,situp,5,9.21,5,9.8,5,9.8,,,
3,situp,3,10.78,3,11.76,3,11.76,,,
3,situp,5,12.74,3,13.72,5,14.7,5,7.84,
3,situp,5,14.7,3,15.68,3,16.66,5,9.8,
3,situp,5,16.66,3,17.64,1,18.62,5,11.76,
4,overhead press,5,42.6,5,42.6,5,42.6,,,2.5
4,overhead press,5,50.05,5,53.25,5,53.25,,,
4,overhead press,3,58.58,3,63.9,3,63.9,,,
4,overhead press,5,69.23,3,74.55,5,79.88,5,42.6,
4,overhead press,5,79.88,3,85.2,3,90.52,5,53.25,
4,overhead press,5,90.52,3,95.85,1,101.17,5,63.9,
4,pullup,5,5.0,5,5.0,5,5.0,,,2.5
4,pullup,5,5.88,5,6.25,5,6.25,,,
4,pullup,3,6.88,3,7.5,3,7.5,,,
4,pullup,5,8.12,3,8.75,5,9.38,5,5.0,
4,pullup,5,9.38,3,10.0,3,10.62,5,6.25,
4,pullup,5,10.62,3,11.25,1,11.88,5,7.5,
4,curl,5,17.6,5,17.6,5,17.6,,,2.5
4,curl,5,20.68,5,22.0,5,22.0,,,
4,curl,3,24.2,3,26.4,3,26.4,,,
4,curl,5,28.6,3,30.8,5,33.0,5,17.6,
4,curl,5,33.0,3,35.2,3,37.4,5,22.0,
4,curl,5,37.4,3,39.6,1,41.8,5,26.4,
4,knuckle dusters,5,10.6,5,10.6,5,10.6,,,2.5
4,knuckle dusters,5,12.46,5,13.25,5,13.25,,,
4,knuckle dusters,3,14.58,3,15.9,3,15.9,,,
4,knuckle dusters,5,17.23,3,18.55,5,19.88,5,10.6,
4,knuckle dusters,5,19.88,3,21.2,3,22.52,5,13.25,
4,knuckle dusters,5,22.52,3,23.85,1,25.17,5,15.9,
